gene	biotype	chr	start	end	strand
SNRPCP18	processed_pseudogene	15	101562536	101562974	+
AHCYP7	processed_pseudogene	15	50417385	50418692	+
NPM1P47	processed_pseudogene	15	62082450	62083305	-
NDUFAF4P1	processed_pseudogene	15	49156329	49156847	+
AC079203.2	antisense	15	34255286	34257832	+
AC084757.2	lincRNA	15	48729080	48729844	-
KRT8P9	processed_pseudogene	15	70858714	70860162	+
LINC01169	lincRNA	15	66582190	66685794	+
LINC02205	lincRNA	15	70503907	70505928	-
AC027228.1	antisense	15	78480057	78481820	-
AC036108.1	antisense	15	98954149	99105824	-
AC018904.2	sense_intronic	15	58521311	58523371	+
AC012653.1	processed_pseudogene	15	57979716	57980646	-
AC024651.1	lincRNA	15	97982509	97991142	-
SORD2P	transcribed_unprocessed_pseudogene	15	44825747	44884694	-
AC012404.1	antisense	15	61181249	61195938	+
RORA-AS2	antisense	15	60681569	60686888	+
AL355073.1	lincRNA	14	56303490	56310761	-
LINC02253	lincRNA	15	97295881	97432094	+
AC023355.1	antisense	15	48312353	48331856	-
KRT18P47	processed_pseudogene	15	88960070	88961046	+
IGHV3OR15-7	IG_V_gene	15	19987656	19988117	-
AC023968.2	processed_pseudogene	15	79559256	79560304	-
MRPL46	protein_coding	15	88459476	88467419	-
AC016705.2	lincRNA	15	80344853	80403575	-
AC021818.2	processed_pseudogene	15	69803316	69804046	-
TPM1-AS	antisense	15	63046034	63049387	-
AC090519.2	lincRNA	15	44387320	44390451	-
KRT8P24	processed_pseudogene	15	48971803	48973361	+
AL132640.1	processed_pseudogene	14	67610986	67613864	+
AC048383.1	lincRNA	15	70321576	70326742	+
AC026992.1	lincRNA	15	69278675	69295322	+
AC009268.1	processed_pseudogene	15	33990686	33992048	+
AC103968.1	processed_pseudogene	15	98466840	98467412	+
AL132801.1	lincRNA	14	102770040	102774791	-
AC073941.2	processed_pseudogene	15	46827526	46827958	+
UBE2Q2L	protein_coding	15	84172490	84182234	+
HNRNPA1P5	processed_pseudogene	15	67627852	67629135	+
CYCSP38	transcribed_processed_pseudogene	15	60558080	60558401	+
AC027243.1	antisense	15	76339609	76342063	-
AL117209.1	antisense	14	102933574	102937177	+
ANP32AP1	transcribed_processed_pseudogene	15	35181799	35238197	+
LINC02169	lincRNA	16	54245618	54270746	-
LINC01583	lincRNA	15	82088594	82097694	+
AC051619.4	antisense	15	45170344	45199958	+
AC051619.5	antisense	15	45251580	45279251	-
INO80-AS1	antisense	15	41016807	41027893	+
AL136295.4	protein_coding	14	24180395	24190416	-
AC022613.2	antisense	15	29822631	29824081	+
GCSHP2	processed_pseudogene	14	103184204	103185039	+
LINC00052	lincRNA	15	87576929	87579866	+
AC068397.1	antisense	15	73255334	73256109	-
AL136295.5	protein_coding	14	24151218	24167402	+
AC104574.1	lincRNA	15	61598514	61605241	+
AC022306.1	processed_pseudogene	15	49365124	49366685	-
AC009269.2	lincRNA	15	70748932	70754177	+
AC040958.1	unprocessed_pseudogene	17	63885851	63886051	+
AC087477.4	lincRNA	15	96448842	96449749	+
RPL21P12	processed_pseudogene	14	103148597	103149408	+
AC091045.1	antisense	15	40488041	40558019	+
UBE2Q2P11	transcribed_unprocessed_pseudogene	15	84412773	84421837	-
AC051619.6	3prime_overlapping_ncRNA	15	45152664	45167526	-
AC027020.1	antisense	15	100558677	100559798	+
AP001150.1	antisense	11	120249759	120265932	-
AC087477.5	lincRNA	15	96393146	96405189	-
AC060809.1	lincRNA	15	81427448	81755217	+
AC021739.4	antisense	15	85726115	85727227	-
AC013452.1	processed_pseudogene	15	49177610	49178741	-
AC027808.1	antisense	15	80896190	80948867	-
CYCSP2	processed_pseudogene	15	41108878	41109178	+
AC021483.1	lincRNA	15	79832466	79833554	-
HNRNPA1P74	processed_pseudogene	15	54320731	54321565	-
AC048382.4	lincRNA	15	84500378	84502381	+
AC140725.1	lincRNA	15	101959848	101961408	-
AC084882.1	sense_intronic	15	47274183	47275164	+
AC067863.1	antisense	15	78625895	78628193	+
AC090971.3	unprocessed_pseudogene	15	51919073	51930627	-
HMGN1P26	processed_pseudogene	15	62362029	62362331	-
MESTP2	processed_pseudogene	15	60053204	60054092	-
AC020687.1	lincRNA	15	87432058	87703852	-
AC079075.1	sense_intronic	15	89704665	89705415	+
AC090607.2	transcribed_processed_pseudogene	15	78290527	78291221	-
AC025430.1	antisense	15	44516650	44517483	-
AC009554.1	antisense	15	61834682	61935738	+
KRT8P23	processed_pseudogene	15	76979245	76980451	-
AC013489.2	processed_pseudogene	15	88568287	88568562	+
AC243562.1	unprocessed_pseudogene	15	84394512	84395514	+
BLID	protein_coding	11	122115354	122116215	-
LINC01491	lincRNA	15	47803384	47846236	-
NMNAT1P5	processed_pseudogene	15	59964942	59966084	+
AC012404.2	antisense	15	61211913	61214231	+
CERNA1	lincRNA	15	52180093	52205874	+
AC087762.1	lincRNA	15	100716249	100828497	+
AC023908.2	processed_transcript	15	39770559	39801333	-
TYRO3P	processed_pseudogene	15	76258986	76261690	-
AC026523.1	lincRNA	15	97540597	97560702	-
AC015712.2	antisense	15	100892859	100919283	-
AC021755.2	lincRNA	15	40075204	40078704	-
RBM17P4	processed_pseudogene	15	35298249	35299440	-
AC015712.3	processed_pseudogene	15	100846604	100846767	-
AC114546.2	lincRNA	15	35008469	35011191	+
AC012050.1	antisense	15	47603880	47606352	-
AC073167.1	antisense	15	63675146	63713758	+
AC015660.2	lincRNA	15	99395179	99396593	-
AC022898.1	antisense	15	60763906	60765625	+
PRELID1P4	processed_pseudogene	15	35121573	35122084	-
MTND5P40	processed_pseudogene	15	46341354	46341599	+
AC023034.1	lincRNA	15	81554003	81696780	+
AC025043.1	antisense	15	44402685	44427144	-
AC116158.2	antisense	15	38524070	38534655	+
AC066616.2	processed_pseudogene	15	58151033	58152513	+
AC092079.1	processed_pseudogene	15	59871511	59873495	-
AC091073.1	antisense	15	48938236	48948031	+
AC016595.1	antisense	5	3596211	3600188	-
AC015712.4	lincRNA	15	100861843	100874369	+
AC074212.1	processed_transcript	19	45764785	45769806	+
AC108449.3	antisense	8	29067279	29068454	+
AC104229.1	processed_pseudogene	15	85958717	85958971	-
AC027807.1	unprocessed_pseudogene	15	84053113	84080097	-
AC023034.2	lincRNA	15	81633887	81642190	-
LINC01582	lincRNA	15	98085627	98103712	-
EEF1A1P22	processed_pseudogene	15	52937139	52938518	-
AC087477.6	processed_pseudogene	15	96388214	96389056	-
AC013391.1	antisense	15	89579765	89582297	-
AC104574.2	lincRNA	15	61298791	61635449	-
AC020661.3	antisense	15	40999274	41004865	+
AC012170.3	lincRNA	15	50494018	50497080	-
AC010867.1	processed_pseudogene	15	54048588	54050876	-
AC016987.1	antisense	15	86938797	86988426	-
AC069029.1	antisense	15	98880659	98893535	-
AC026956.1	processed_pseudogene	15	82010212	82010607	-
AC125257.1	sense_overlapping	17	41848518	41851447	-
AC009269.3	antisense	15	70768011	70778868	-
MTND3P12	processed_pseudogene	15	58150635	58150962	+
AC079328.2	antisense	15	63070025	63071911	-
AC007000.3	processed_transcript	7	77043721	77198626	+
AC104046.1	transcribed_processed_pseudogene	15	85415228	85415633	+
AC104316.2	lincRNA	8	122977026	122985629	-
AC090971.4	processed_pseudogene	15	51859185	51861293	-
UBE2Q2P8	unprocessed_pseudogene	15	84255913	84256014	+
AC100830.1	antisense	15	64701248	64719602	+
AC016987.2	sense_intronic	15	86932880	86946331	+
DNM1P38	unprocessed_pseudogene	15	82531653	82534139	-
AC021351.1	lincRNA	15	35939167	36252257	-
ST20-AS1	antisense	15	79922771	79926993	+
AC022613.3	sense_intronic	15	29728186	29729531	-
AC027237.4	sense_intronic	15	69391192	69392149	+
AC140725.2	unprocessed_pseudogene	15	101903154	101903204	+
AC111152.2	lincRNA	15	30005443	30045848	-
AL132640.2	transcribed_processed_pseudogene	14	67614929	67616626	+
AC027808.2	antisense	15	80896191	80909777	-
AC068397.2	antisense	15	73335260	73342387	+
MTCO3P23	processed_pseudogene	15	58150275	58150563	+
AC090181.1	lincRNA	15	77043680	77045160	+
AC115102.1	antisense	15	84685884	84686946	+
AC090825.2	unprocessed_pseudogene	15	99791127	99792847	+
AC013452.2	lincRNA	15	49101791	49103264	+
PIGHP1	processed_pseudogene	15	59676757	59677321	+
AC027559.1	transcribed_unprocessed_pseudogene	15	101732201	101746870	-
AC009996.1	sense_intronic	15	44557829	44559188	+
DNM1P47	transcribed_unprocessed_pseudogene	15	101751032	101794302	+
AC068831.4	antisense	15	90920218	90921186	-
AC010478.1	antisense	5	51372736	51383332	-
LINC02254	lincRNA	15	97370371	97521811	-
AC021231.3	processed_pseudogene	15	35081144	35081513	+
LINGO1-AS1	antisense	15	77641764	77652288	+
AC066613.1	antisense	15	51457286	51460582	+
AC084759.2	lincRNA	15	53947624	53976908	-
AC012379.1	antisense	15	48783190	48784121	+
MTCYBP23	processed_pseudogene	15	58154960	58156061	+
AC087612.1	lincRNA	15	63098870	63110403	+
IQCH-AS1	lincRNA	15	67403619	67521844	-
AC092868.1	processed_pseudogene	15	59406963	59408154	-
AC018618.1	lincRNA	15	61639349	61715171	-
AC103982.1	lincRNA	15	88797413	88798734	-
AC027176.2	processed_pseudogene	15	89876540	89877285	+
AC066613.2	antisense	15	51414097	51498833	+
AC136428.1	protein_coding	16	33844784	33845229	-
AC090527.1	lincRNA	15	45558598	45562877	+
AC091231.1	sense_intronic	15	64470253	64471364	+
AC243562.2	unprocessed_pseudogene	15	84389729	84395903	+
AC084756.1	antisense	15	50557601	50560500	+
IDH2-DT	lincRNA	15	90102649	90133445	+
HNRNPA1P71	processed_pseudogene	15	33012119	33013068	+
LINC01220	lincRNA	14	75294404	75296638	+
AC019288.1	processed_pseudogene	15	35396221	35396444	+
AC107980.1	sense_intronic	15	29373602	29376956	-
FKBP1AP2	processed_pseudogene	15	73143236	73143518	-
AC104041.1	lincRNA	15	81660482	81871125	-
AC136698.1	lincRNA	15	84171178	84173194	-
AC090164.1	processed_pseudogene	15	101580893	101581556	-
AC104759.1	processed_pseudogene	15	31453201	31454139	-
AC126323.2	lincRNA	15	62196145	62203318	-
FAM30C	unprocessed_pseudogene	15	21019388	21020851	+
HMGB1P8	processed_pseudogene	15	89135547	89136495	-
AC012379.2	processed_transcript	15	48810701	48811909	+
AC020891.3	sense_intronic	15	51278927	51280015	-
AC024337.1	lincRNA	15	96045341	96064357	-
AC124248.1	sense_overlapping	15	90839724	90841378	+
AC084757.3	lincRNA	15	48645951	48652016	+
HSP90B2P	processed_pseudogene	15	99257632	99260015	+
AC105339.4	processed_pseudogene	15	82691723	82692358	-
AC090607.3	antisense	15	78250502	78264156	-
AC023906.4	antisense	15	52124561	52140246	+
NUTF2P6	processed_pseudogene	15	35282596	35282980	+
AC106738.1	lincRNA	16	54934913	54954665	+
AC023906.5	antisense	15	52056675	52100523	-
AC013391.2	sense_overlapping	15	89518523	89591956	+
AC022087.1	lincRNA	15	50359450	50360194	-
LINC00677	lincRNA	14	103120847	103123007	-
LINC02284	lincRNA	14	56310880	56345001	+
AC009562.1	antisense	15	31002013	31042302	+
AC090877.2	lincRNA	15	32717270	32719007	-
AC087465.1	processed_pseudogene	15	77204578	77205100	+
AL354993.2	antisense	20	53453058	53504314	-
LINC01581	lincRNA	15	93905405	94107938	-
AC106738.2	lincRNA	16	54937786	54938671	-
CSPG4P11	unprocessed_pseudogene	15	84186752	84197384	+
AC103740.2	lincRNA	15	62895812	62899543	+
LINC00933	transcribed_unprocessed_pseudogene	15	84570649	84580175	+
AC092078.1	lincRNA	15	47944044	47949509	+
AC022929.1	lincRNA	15	38756552	38759413	-
AC092757.2	sense_overlapping	15	59121034	59133250	+
AC012229.1	antisense	15	86630266	86631136	-
AC092868.2	sense_intronic	15	59348648	59359889	-
CRTC3-AS1	antisense	15	90620007	90717141	-
AC087516.2	lincRNA	15	36438972	36471016	-
ZNF444P1	processed_pseudogene	15	58865006	58865303	+
AC009558.2	sense_intronic	15	47525169	47527756	+
AC090888.3	unprocessed_pseudogene	15	44914802	44930622	-
AC068714.1	processed_pseudogene	15	46099193	46100392	-
AC009269.4	sense_intronic	15	70848883	70849770	-
HSPE1P3	processed_pseudogene	15	90634725	90635033	+
NCAPGP2	unprocessed_pseudogene	15	30005205	30006430	+
AC092868.3	processed_pseudogene	15	59401221	59402004	-
AC018868.2	processed_pseudogene	15	34849137	34850395	-
AC068234.1	protein_coding	17	47253897	47344292	+
AC092078.2	lincRNA	15	47884310	48049112	+
AC090907.2	antisense	15	101050732	101086066	-
AC100839.2	antisense	15	62682916	62690448	-
AC091891.1	lincRNA	5	2736662	2737759	-
AC007907.1	lincRNA	16	54239693	54240654	+
AC015660.3	antisense	15	99396613	99401315	-
AC078905.1	lincRNA	15	87042054	87047161	+
AC021739.5	antisense	15	85750336	85752901	-
LINC02157	lincRNA	15	96235785	96236703	+
PCSK6-AS1	antisense	15	101334437	101337428	+
AC022558.1	sense_intronic	15	83022236	83024336	-
AC004943.2	antisense	16	72665170	72791624	+
AC127381.1	processed_pseudogene	15	20046296	20047994	-
AC015871.1	processed_pseudogene	15	79944498	79945578	+
AC092756.1	sense_intronic	15	59266720	59271162	-
AC012236.1	lincRNA	15	31221999	31230838	-
AC012100.2	antisense	15	50746709	50749829	+
AC243562.3	lincRNA	15	84422618	84425882	+
AL138976.2	antisense	14	103331674	103332367	-
AC093426.1	lincRNA	1	239247808	239250818	-
LINC01922	lincRNA	18	74409415	74413209	+
AC009065.1	lincRNA	16	2235689	2236913	-
HMGB1P6	processed_pseudogene	15	71164770	71165415	-
AC008915.1	sense_intronic	16	23446446	23447282	-
LINC02259	lincRNA	15	72608481	72636919	-
AC093525.1	protein_coding	16	2513965	2527955	+
LINC02109	lincRNA	5	29143503	29217115	+
AL596325.1	antisense	1	162560227	162561308	-
AL096869.3	lincRNA	14	90489012	90491637	-
ANP32BP1	transcribed_processed_pseudogene	15	75321397	75322693	-
AC092325.1	lincRNA	16	35640029	35640582	+
AC104758.2	antisense	15	77993405	77995289	+
AC013726.1	antisense	2	233351132	233353416	-
AC020978.1	sense_intronic	16	68316801	68319036	+
AC138625.1	antisense	16	71113352	71114000	+
AC145350.1	processed_pseudogene	16	33130235	33130442	+
AC012640.2	antisense	5	10352701	10353601	-
SLC22A31	protein_coding	16	89195761	89201664	-
AC027682.1	antisense	16	67561411	67562309	-
AC022558.2	antisense	15	82925884	83103443	+
AC009093.1	lincRNA	16	29217170	29220031	-
AC002519.1	sense_intronic	16	31788202	31790993	+
AC138028.3	antisense	16	88696501	88698610	+
AC102941.1	lincRNA	15	29609676	29611212	-
AC099793.1	lincRNA	1	208626741	208628085	-
AC087565.1	lincRNA	16	73812621	73816053	+
AL606760.3	antisense	1	53220663	53224253	+
AC018767.1	lincRNA	16	8369864	8376276	+
AC083843.3	lincRNA	8	134792020	134798272	-
AC018845.1	lincRNA	16	47004513	47035385	+
AC140878.1	processed_pseudogene	16	32278866	32279115	+
LYPD8	protein_coding	1	248718649	248755739	-
AC072061.1	antisense	7	39947522	39949755	-
AC026461.1	processed_transcript	16	56682470	56687807	+
AL355596.1	lincRNA	6	141447011	141451006	+
LINC00567	lincRNA	13	110809676	110813084	-
CYP4A26P	unprocessed_pseudogene	1	46967679	46967874	-
AC138625.2	antisense	16	71080866	71093667	+
AL365361.1	lincRNA	1	110653560	110657040	-
AGGF1P6	processed_pseudogene	16	35489237	35490212	+
LINC01904	lincRNA	18	926083	927993	-
ELOCP2	unprocessed_pseudogene	15	41557027	41557435	+
Z97653.1	lincRNA	16	710746	711277	-
LINC01566	lincRNA	16	35363412	35390584	+
IGHV3OR16-16	unprocessed_pseudogene	16	33949976	33950420	-
AC007610.1	antisense	16	50046429	50066224	-
GNPATP	processed_pseudogene	16	60654235	60656649	-
HERC2P10	unprocessed_pseudogene	15	30815271	30844153	+
AC092131.1	lincRNA	16	64364781	64600247	+
LINC02126	lincRNA	16	65141756	65176713	-
AC097374.1	transcribed_unprocessed_pseudogene	2	94867486	94947341	-
VENTXP1	lincRNA	X	26558337	26561052	+
IGHV1OR16-2	IG_V_pseudogene	16	32978461	32978891	+
AP005233.1	lincRNA	11	69414307	69416832	+
AC007749.1	lincRNA	2	216995906	216996490	+
RAB43P1	processed_pseudogene	16	46626404	46626992	-
AC010266.1	lincRNA	5	6030035	6030841	+
AC026336.2	lincRNA	12	130249679	130266725	+
SH3RF3-AS1	lincRNA	2	109127327	109128930	-
AC018846.1	processed_pseudogene	16	63703483	63703665	+
AL390728.6	lincRNA	1	247187281	247188526	-
AC007599.1	processed_pseudogene	16	47561307	47562480	-
AC105411.1	antisense	16	80155053	80563135	-
AL163952.1	processed_transcript	14	55896547	55962970	+
AL022344.2	lincRNA	10	42751178	42752145	-
AC024651.2	lincRNA	15	97876289	97878386	+
AC130456.1	sense_intronic	16	19315164	19316526	+
AC009117.1	processed_pseudogene	16	82434828	82435381	+
AC034105.2	processed_pseudogene	16	31870887	31871124	-
AC010333.1	antisense	16	12556353	12557694	-
AC009113.1	antisense	16	89215211	89217653	-
AC126323.3	lincRNA	15	62230384	62231895	-
AC092384.2	antisense	16	88881038	88887136	+
AC142384.1	unprocessed_pseudogene	16	33577502	33622547	+
EHD4-AS1	antisense	15	41921417	41928883	+
AC025259.3	lincRNA	12	52058459	52059503	-
AC068987.1	lincRNA	12	51848223	51852729	+
AC093802.2	lincRNA	2	239734956	239735538	+
DNM1P50	unprocessed_pseudogene	15	30567822	30571089	-
AC107375.1	antisense	8	140505813	140508043	-
AC027139.1	unprocessed_pseudogene	15	34555870	34556820	+
AC106820.2	antisense	16	2464950	2468213	-
FRG2JP	unprocessed_pseudogene	16	35245916	35247534	-
AC010333.2	antisense	16	12560756	12611044	-
AC026464.1	protein_coding	16	69335276	69351730	-
ACTG1P15	processed_pseudogene	15	34373541	34374603	-
PWRN1	lincRNA	15	24493137	24652130	+
AC120045.1	lincRNA	15	30170563	30179943	-
AC004817.2	lincRNA	14	71181456	71182106	+
AC100827.1	unprocessed_pseudogene	15	72638821	72640125	+
AC120498.1	antisense	16	1159548	1160176	-
AC023813.1	lincRNA	16	48620319	48622033	+
AC009063.1	antisense	16	83725676	83726377	-
AC017071.1	lincRNA	2	186354570	186356773	-
AL845331.2	protein_coding	2	94588522	94604573	+
HNRNPLP2	unprocessed_pseudogene	15	34489002	34490571	-
NDUFA5P11	processed_pseudogene	16	47598654	47598996	-
AC007938.1	lincRNA	7	130481491	130484392	-
AC022819.1	sense_intronic	15	99157231	99161140	-
AC023825.1	processed_pseudogene	16	57013071	57014100	-
AC026461.2	processed_transcript	16	56648881	56652636	+
AC011939.1	processed_pseudogene	15	65771176	65772139	-
AC130456.2	lincRNA	16	19343647	19401693	-
AC007342.1	sense_intronic	16	53448748	53449590	+
AC011840.2	lincRNA	17	30564057	30565576	-
AC010601.1	lincRNA	16	17933189	18151595	-
AC105036.1	processed_pseudogene	15	75512770	75513040	-
AC051619.7	sense_intronic	15	45198517	45199139	-
AC009065.2	sense_overlapping	16	2091436	2095433	+
AC142086.2	processed_pseudogene	16	32845964	32846180	-
AC009754.1	sense_intronic	15	52648634	52649866	-
AC023158.1	sense_intronic	12	33404872	33405896	-
AC022167.1	antisense	16	8853312	8854347	+
AC109449.1	antisense	16	27213308	27214993	-
AC084782.1	lincRNA	15	56394321	56396785	-
AL050341.2	antisense	1	40256427	40257967	-
CDRT7	lincRNA	17	15030975	15031957	+
AC027682.2	antisense	16	67542123	67542963	-
BX005019.1	lincRNA	1	97967005	97968814	-
LINC02124	lincRNA	16	1889114	1890434	+
AC124068.1	processed_pseudogene	15	89201091	89201768	-
AC034105.3	processed_pseudogene	16	31894542	31894983	-
AC009133.2	antisense	16	29806496	29807732	-
AL138756.1	sense_overlapping	9	112032555	112037730	-
IL21R-AS1	antisense	16	27447669	27453393	-
AC008741.1	antisense	16	25238318	25239287	+
RBM15B	protein_coding	3	51391268	51397908	+
AC107068.1	lincRNA	4	47840122	47844339	-
AL354712.1	antisense	1	13513220	13516270	+
AC007342.2	unprocessed_pseudogene	16	53362019	53363678	-
AC007012.1	processed_pseudogene	16	6721786	6721960	+
THSD4-AS1	antisense	15	71147650	71189042	-
AC137800.1	transcribed_unprocessed_pseudogene	16	32600299	32615639	+
AC087761.1	lincRNA	15	80165923	80166980	+
AC093283.1	lincRNA	5	73952940	73954014	+
AL049838.1	sense_overlapping	14	57993545	57994525	-
AC099668.1	processed_transcript	3	49684480	49684983	-
AC009120.2	processed_transcript	16	74305127	74335346	-
LINC00261	lincRNA	20	22547671	22578642	-
AC093010.3	3prime_overlapping_ncRNA	3	114314501	114329714	-
AL121578.3	lincRNA	X	37906147	37949405	+
MRPS21P8	processed_pseudogene	16	49764454	49764688	+
VN1R68P	processed_pseudogene	16	35118238	35118956	-
AF096876.1	lincRNA	21	30089717	30097836	+
CDC37P1	processed_pseudogene	16	28700294	28701540	-
AC018845.2	transcribed_processed_pseudogene	16	47013957	47014365	+
AL928711.1	unprocessed_pseudogene	1	25336429	25337465	-
AC017100.1	antisense	18	31685655	31686823	+
AC103876.1	antisense	15	83179182	83439445	+
DUX4L46	processed_pseudogene	16	34141256	34142006	-
AC135782.2	lincRNA	16	88984032	88995369	+
AC133561.3	unprocessed_pseudogene	16	34013394	34013830	-
AC025287.1	processed_transcript	16	75541399	75608445	-
AC135731.1	processed_pseudogene	15	30223017	30225564	+
AL353796.1	sense_overlapping	10	30302826	30306066	-
AC106729.1	lincRNA	16	76736342	76928169	+
RARRES2P8	processed_pseudogene	16	35543279	35543645	-
IGHV1OR16-4	IG_V_pseudogene	16	33002333	33002621	+
AL133279.3	lincRNA	14	88158240	88160591	-
AC009054.1	sense_intronic	16	75321890	75325048	-
AL133338.1	antisense	6	100881471	100882987	+
TGFBR3L	protein_coding	19	7916145	7919097	+
AC018767.2	lincRNA	16	8276263	8295700	-
AC092138.1	lincRNA	16	65601101	65601698	-
AC027601.1	antisense	17	81228707	81233983	+
AC107871.1	protein_coding	15	68184032	68229718	-
AP001527.1	lincRNA	11	102107886	102109842	+
LINC02130	lincRNA	16	14363109	14370266	-
ZNF720P1	processed_pseudogene	16	31601593	31603531	-
AC132938.1	lincRNA	17	82381110	82382690	-
AC007494.1	processed_pseudogene	16	47262741	47263500	+
LSM3P5	processed_pseudogene	16	78355529	78355834	+
AC010547.2	sense_intronic	16	71539834	71541825	-
AC138811.1	antisense	16	18803083	18812181	+
AC040169.1	antisense	16	84117051	84117571	+
LINC01992	lincRNA	17	27929548	27974223	-
AC098934.4	antisense	1	202810238	202810829	-
AL031716.1	antisense	16	883780	885090	+
MRPS21P7	processed_pseudogene	16	49708006	49708243	+
AC009414.2	lincRNA	2	36354749	36355114	-
LINC02189	lincRNA	16	86720688	86721954	-
HOXB7	protein_coding	17	48607227	48633572	-
AC007608.2	antisense	16	50551824	50553940	-
AC076968.1	lincRNA	12	53754358	53762104	+
RPL10P14	processed_pseudogene	16	50151280	50151577	-
NORAD	lincRNA	20	36045622	36050960	-
AC023813.2	processed_pseudogene	16	48600176	48600644	+
LCMT1-AS2	antisense	16	25140577	25149032	-
AC051619.8	sense_intronic	15	45200325	45200632	-
AC013355.1	processed_pseudogene	15	55442635	55443357	-
AC104938.1	antisense	15	71818396	71823384	+
AC009090.1	sense_intronic	16	57247350	57248492	+
AC007495.2	lincRNA	16	56109537	56137000	+
AC025810.1	lincRNA	16	50856614	50879278	-
AL162632.3	lincRNA	14	45369215	45370839	+
BCAP31P2	unprocessed_pseudogene	16	32869985	32873128	+
IGHV1OR16-3	IG_V_pseudogene	16	32059084	32059372	+
AL031600.1	antisense	16	1451760	1452653	+
AC023813.3	lincRNA	16	48637143	48638719	+
ABCB10P4	processed_pseudogene	15	28506625	28508808	-
LINC01571	lincRNA	16	51762519	51773173	+
AC018767.3	lincRNA	16	8309962	8357860	+
AC092620.3	lincRNA	2	138599663	138602426	-
AC009088.1	antisense	16	31196131	31196963	+
GOLGA2P11	transcribed_unprocessed_pseudogene	15	62253730	62270680	-
AL512408.1	antisense	1	26692132	26694131	-
AC092332.1	sense_intronic	16	80627551	80628379	-
AC112176.1	lincRNA	5	1725149	1728172	+
MTND4LP25	processed_pseudogene	16	49066567	49066729	-
AC009101.1	processed_pseudogene	16	64738323	64738564	+
AC006960.3	antisense	7	36319775	36320479	+
AC007221.1	lincRNA	16	9466655	9517564	+
AC008938.1	lincRNA	16	24472798	24495177	-
AC023824.1	lincRNA	16	35192687	35195661	-
NSFP1	unprocessed_pseudogene	17	46372855	46487141	+
AC104794.2	lincRNA	2	10039092	10040663	-
AC007342.3	transcribed_unprocessed_pseudogene	16	53364982	53373083	-
AF274858.1	transcribed_processed_pseudogene	X	153599315	153613937	+
AC106886.1	processed_pseudogene	16	30821068	30822110	-
MIR762HG	antisense	16	30875222	30895220	+
AC126773.1	antisense	16	68573782	68589512	-
AC007611.1	lincRNA	16	48623436	48744921	+
PCMTD1P2	processed_pseudogene	16	34139189	34139543	+
AL445483.1	lincRNA	1	200669507	200694250	+
ADAM3B	processed_pseudogene	16	49517762	49518601	-
AC092435.3	lincRNA	4	147005492	147009145	+
AC093752.3	lincRNA	4	119409333	119410233	+
AC009163.2	protein_coding	16	75528532	75545428	-
AC034111.1	antisense	8	10050485	10054254	-
LINC00564	lincRNA	13	81225865	81226983	-
AC106820.3	antisense	16	2452581	2452977	-
DNM1P33	unprocessed_pseudogene	15	74062780	74063785	+
SPDYE6	protein_coding	7	102347206	102356444	-
AL512604.3	lincRNA	9	37078813	37079776	-
AC008074.3	lincRNA	2	64522187	64524093	-
LINC01070	lincRNA	13	112197350	112201000	+
AC012435.1	transcribed_processed_pseudogene	15	74478070	74490286	-
AC068338.1	unprocessed_pseudogene	15	75249232	75249407	-
AOC4P	transcribed_unprocessed_pseudogene	17	42865922	42874369	+
AC005606.1	lincRNA	16	1997654	1998374	+
AC026464.2	3prime_overlapping_ncRNA	16	69463844	69466264	+
AC135628.1	unprocessed_pseudogene	15	67985059	67986288	+
AC012184.1	antisense	16	70379457	70399502	+
AC008567.1	processed_pseudogene	19	9518150	9519341	+
AC093249.1	processed_pseudogene	16	30626976	30627178	+
AC120114.2	sense_intronic	16	29919634	29921905	-
AC012174.1	antisense	16	61918321	61940697	+
AL157700.1	lincRNA	X	68013470	68014901	-
AC104066.2	lincRNA	4	52680609	52692649	+
AC138028.4	antisense	16	88718615	88720459	+
AC068987.2	lincRNA	12	51809705	51810600	-
AC013565.1	lincRNA	15	89041223	89082819	+
AGBL1-AS1	antisense	15	86295649	86317173	-
AC092326.1	lincRNA	16	16658227	16664135	+
ULK4P2	transcribed_unprocessed_pseudogene	15	30572738	30600647	+
LINC00556	antisense	13	20181531	20181942	+
AL032819.1	antisense	16	1408834	1412248	+
CA5AP1	unprocessed_pseudogene	16	29618785	29636328	-
C1QL1P1	processed_pseudogene	16	35574834	35575494	+
MMP2-AS1	lincRNA	16	55426797	55462297	-
AC008915.2	lincRNA	16	23452758	23457606	+
AL132657.2	lincRNA	10	37791580	37791937	+
CSPG4P13	transcribed_unprocessed_pseudogene	15	77894684	77904674	+
AC145350.2	lincRNA	16	33043609	33095431	-
AC068135.2	lincRNA	2	193898367	193899394	+
AC100827.2	unprocessed_pseudogene	15	72605183	72612326	+
AC023825.2	antisense	16	57052505	57058497	-
AC132186.1	processed_pseudogene	16	66450998	66451351	-
MTND5P34	processed_pseudogene	16	55007982	55008306	+
AC009090.2	antisense	16	57091213	57092303	-
AL355493.2	lincRNA	10	27343436	27344917	+
AC113208.1	processed_pseudogene	15	75114261	75114868	+
RARRES2P10	processed_pseudogene	16	35485766	35486225	-
AC020763.1	antisense	16	70747057	70747926	+
AC233702.1	transcribed_unprocessed_pseudogene	17	21614487	21641536	+
AC137761.1	lincRNA	16	32809556	32824645	+
